run,iteration,state,level,k,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,ID,county,2,7837,44,102,10,538.52,10000,2,41,0.08,60,1,83,1,2,5,10,10.0,0.20,3600,2,1,True,787060.0,780522.0,6538.0
run1,2,ID,county,2,6538.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,12,12.0,0.29,3600,2,40,True,786152.0,781430.0,4722.0
run1,3,ID,county,2,4722.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,12,12.0,0.33,3600,2,41,True,784579.0,783003.0,1576.0
run1,4,ID,county,2,1576.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,13,13.0,0.48,3600,2,587,True,784266.0,783316.0,950.0
run1,5,ID,county,2,950.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,13,13.0,0.75,3600,2,1828,True,784069.0,783513.0,556.0
run1,6,ID,county,2,556.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,14,14.0,1.46,3600,2,3828,True,783937.0,783645.0,292.0
run1,7,ID,county,2,292.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,16,16.0,1.46,3600,2,4344,True,783816.0,783766.0,50.0
run1,8,ID,county,2,50.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,16,16.0,1.98,3600,2,2690,True,783799.0,783783.0,16.0
run1,9,ID,county,2,16.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,19,19.0,5.87,3600,2,17138,True,783792.0,783790.0,2.0
run1,10,ID,county,2,2.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,37,37.0,827.04,3600,2,3485442,True,783791.0,783791.0,0.0
run1,10,ID,county,2,0.0,44,102,10,538.52,10000,2,41,0.08,60,0,0,0,0,5,no_solution_found,inf,0.03,3600,3,0,n/a,783791.0,783791.0,0.0
